run_id,commit_sha,backbone,internal_name,site_rank,module_class,module_path,spatial_h,spatial_w,exec_index,n_module_calls,exec_index_norm,n,dice,iou,dice_size_matched,pointing_acc,energy_mean,n_zero_cam,is_band_pick,is_canonical_pick,cam_method,seconds
2026-08-20-run04,f81ba0d,xception,xception,4,BatchNorm2d,features.block12.rep.5,6,6,195,218,0.8986,60,0.10891169755369848,0.062159553483468286,0.08565179608899369,0.08333333333333333,0.07306100584808478,0,0,0,layercam,0.62
2026-08-20-run04,f81ba0d,xception,xception,5,SeparableConv2d,features.conv4,3,3,208,218,0.9585,60,0.07163754044089268,0.047940170286912484,0.15189532728758642,0.2,0.04643701757677796,9,1,0,layercam,0.58
2026-08-20-run04,f81ba0d,xception,xception,6,ReLU,features.act4,3,3,210,218,0.9677,60,0.028644987256152003,0.018354172140889836,0.03384182018084124,0.06666666666666667,0.019659728767752748,0,0,1,layercam,0.51
2026-08-20-run04,f81ba0d,xception,xception,7,AdaptiveAvgPool2d,features.global_pool.pool,1,1,211,218,0.9724,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,0.44
2026-08-20-run04,f81ba0d,googlenet,googlenet,0,BasicConv2d,features.0,48,48,2,226,0.0089,60,0.07947183078736772,0.04330482865676129,0.19754222779714425,0.31666666666666665,0.04079502131528005,0,0,0,layercam,0.61
2026-08-20-run04,f81ba0d,googlenet,googlenet,1,BasicConv2d,features.3,24,24,9,226,0.04,60,0.08887758321184187,0.049542232329594475,0.21009045412968205,0.4,0.04243361597918976,0,0,0,layercam,0.53
2026-08-20-run04,f81ba0d,googlenet,googlenet,2,Inception,features.6,12,12,56,226,0.2489,60,0.10330260979809161,0.059343356173338066,0.2525322914195604,0.36666666666666664,0.043725184639076375,0,0,0,layercam,0.54
2026-08-20-run04,f81ba0d,googlenet,googlenet,3,Inception,features.12,6,6,172,226,0.7644,60,0.10932184002399209,0.06458435093999423,0.07600894508734063,0.08333333333333333,0.05094366311690541,0,0,0,layercam,0.53
2026-08-20-run04,f81ba0d,googlenet,googlenet,4,Inception,features.15,3,3,219,226,0.9733,60,0.09009910809251125,0.05419250653921794,0.2597236504050939,0.5,0.030896920750609933,0,0,1,layercam,0.51
2026-08-20-run04,f81ba0d,googlenet,googlenet,5,Dropout,features.17,1,1,221,226,0.9822,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,1,0,layercam,0.51
2026-08-20-run04,f81ba0d,convnext_tiny,convnext_tiny,0,LayerNorm2d,features.0.2.0,24,24,34,202,0.1692,60,0.09299671931138508,0.053388440442987746,0.37556023677969724,0.36666666666666664,0.13463881611118478,0,0,0,layercam,0.54
2026-08-20-run04,f81ba0d,convnext_tiny,convnext_tiny,1,LayerNorm2d,features.0.4.0,12,12,68,202,0.3383,60,0.10790733604228718,0.06394943081449087,0.1785726412040825,0.15,0.10398940427645194,0,0,0,layercam,0.5
2026-08-20-run04,f81ba0d,convnext_tiny,convnext_tiny,2,LayerNorm2d,features.0.6.0,6,6,162,202,0.806,60,0.10721643075661051,0.06415603632200388,0.097927729867276,0.06666666666666667,0.0710530542102594,0,0,0,layercam,0.51
2026-08-20-run04,f81ba0d,convnext_tiny,convnext_tiny,3,CNBlock,features.0.7.2,3,3,194,202,0.9652,60,0.10912365545050878,0.06527184485515106,0.4442796021341405,0.7166666666666667,0.04778946844055489,0,0,1,layercam,0.54
2026-08-20-run04,f81ba0d,convnext_tiny,convnext_tiny,4,Sequential,features.0.7,3,3,195,202,0.9701,60,0.10912365545050878,0.06527184485515106,0.4442796021341405,0.7166666666666667,0.04778946844055489,0,1,0,layercam,0.58
2026-08-20-run04,f81ba0d,convnext_tiny,convnext_tiny,5,AdaptiveAvgPool2d,features.1,1,1,197,202,0.9801,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,0.58
2026-08-20-run04,f81ba0d,inception_resnet_v2,inception_resnet_v2,0,ConvNormAct,features.conv2d_1a,47,47,4,1215,0.0033,60,0.09678997854537144,0.05488832298820653,0.09458041076924585,0.08333333333333333,0.04777785206590452,0,0,0,layercam,2.39
2026-08-20-run04,f81ba0d,inception_resnet_v2,inception_resnet_v2,1,ConvNormAct,features.conv2d_2b,45,45,14,1215,0.0115,60,0.0920226762863168,0.05119524359606079,0.28274018505602105,0.4166666666666667,0.05923374144384248,0,0,0,layercam,2.38
2026-08-20-run04,f81ba0d,inception_resnet_v2,inception_resnet_v2,2,ConvNormAct,features.conv2d_3b,22,22,20,1215,0.0165,60,0.11158944246970423,0.06398131399701688,0.46677793259180145,0.5333333333333333,0.06481241614793877,0,0,0,layercam,2.33
2026-08-20-run04,f81ba0d,inception_resnet_v2,inception_resnet_v2,3,ConvNormAct,features.conv2d_4a,20,20,25,1215,0.0206,60,0.095899248079665,0.053073645363036305,0.402315741545482,0.7333333333333333,0.06690453005856017,0,0,0,layercam,2.23
2026-08-20-run04,f81ba0d,inception_resnet_v2,inception_resnet_v2,4,ConvNormAct,features.mixed_6a.branch1.1,9,9,432,1215,0.3558,60,0.1199206489360661,0.07264374117972192,0.30890262669159263,0.38333333333333336,0.06692107589695423,0,1,0,layercam,2.19
2026-08-20-run04,f81ba0d,inception_resnet_v2,inception_resnet_v2,5,Block17,features.repeat_1.19,4,4,920,1215,0.7578,60,0.11745563991844861,0.0708721499562406,0.0713395836848358,0.1,0.046204714258046425,0,0,1,layercam,2.19
2026-08-20-run04,f81ba0d,inception_resnet_v2,inception_resnet_v2,6,AdaptiveAvgPool2d,features.global_pool.pool,1,1,1207,1215,0.9942,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,2.19
2026-08-20-run04,f81ba0d,densenet201,densenet201,0,ReLU,features.0.relu0,48,48,2,716,0.0028,60,0.06622406062329747,0.0351683395674828,0.17428751867400274,0.23333333333333334,0.04273511141721718,0,0,0,layercam,2.66
2026-08-20-run04,f81ba0d,densenet201,densenet201,1,Conv2d,features.0.transition1.conv,24,24,49,716,0.0685,60,0.07082803549801366,0.039582704855215756,0.19405247899270917,0.3333333333333333,0.06720122914377709,0,0,0,layercam,2.71
2026-08-20-run04,f81ba0d,densenet201,densenet201,2,Conv2d,features.0.transition2.conv,12,12,139,716,0.1944,60,0.10373075087088914,0.062494822235220154,0.22463732566620687,0.26666666666666666,0.06241165653179872,0,0,0,layercam,2.75
2026-08-20-run04,f81ba0d,densenet201,densenet201,3,Conv2d,features.0.transition3.conv,6,6,481,716,0.6727,60,0.1209521337939298,0.07468095950478866,0.13073091931193634,0.1,0.05703566223762716,0,0,0,layercam,2.65
2026-08-20-run04,f81ba0d,densenet201,densenet201,4,BatchNorm2d,features.0.norm5,3,3,709,716,0.9916,60,0.0970199609950789,0.05761908498090026,0.4322087131178939,0.7,0.031489475233563886,0,1,1,layercam,2.76
2026-08-20-run04,f81ba0d,densenet201,densenet201,5,AdaptiveAvgPool2d,features.1,1,1,711,716,0.9944,60,0.03495450919152259,0.018872070312039257,0.01132877542761301,0.0,0.0,60,0,0,layercam,2.68
